2025-10-26 22:22:30,257 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-10-26 22:22:30,287 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-10-26 22:22:30,287 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-10-26 22:22:30,287 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 201 - Setting up command manager
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 204 - Adding command manager
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-10-26 22:22:30,287 INFO  SwAddin.cs: 210 - Adding event handlers
2025-10-26 22:22:30,417 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-10-26 22:23:20,576 INFO  SwAddin.cs: 294 - Assembly export called for file 游泳机器人.SLDASM
2025-10-26 22:23:21,848 INFO  SwAddin.cs: 313 - Saving assembly
2025-10-26 22:23:23,001 INFO  SwAddin.cs: 316 - Opening property manager
2025-10-26 22:23:23,015 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1136 - Found 38 in 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Total_v1.STEP-1
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Total_v1.STEP-1
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Total_v1.STEP-1
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1136 - Found 38 in 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in 游泳机器人.SLDASM
2025-10-26 22:23:23,045 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-10-26 22:23:23,055 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-10-26 22:23:23,055 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Total_v1.STEP-1
2025-10-26 22:23:23,055 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Total_v1.STEP-1
2025-10-26 22:23:23,055 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Total_v1.STEP-1
2025-10-26 22:23:23,477 INFO  SwAddin.cs: 339 - Loading config tree
2025-10-26 22:23:23,481 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2025-10-26 22:23:23,484 INFO  SwAddin.cs: 344 - Showing property manager
2025-10-26 22:23:26,681 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-10-26 22:23:28,426 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-10-26 22:23:32,270 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-10-26 22:23:33,930 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
